fase,modelo,perfil,semilla,etiqueta,umbral,n,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,fold,valido,motivo,umbral_op,bloques_train,bloques_val,bloques_compartidos,lagos_val,train_hasta,test_fecha,prevalencia_inestable,experimento,train,test,ejecutable,prevalencia_train,prevalencia_test,scale_pos_weight
spatial,random_forest,standard,,fold4,0.958591016956443,751109,0.0157793342910283,7501,739125,132,4351,0.9940314921003476,0.982706668413468,0.6328889638879514,0.7699255837823967,0.6814011373339874,0.9992156433201878,0.9614618212898096,0.8163552031140153,0.9998214423400792,0.0001785576599207,0.3671110361120486,0.7861717129326302,0.0029760642003527,4.0,True,,0.958591016956443,240.0,68.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,xgboost,standard,,fold4,0.9972338080406188,751109,0.0157793342910283,7878,738897,360,3974,0.994229865438971,0.956300072833212,0.664697941275734,0.7842707814833251,0.7078675915609388,0.999189525308842,0.9531978632205026,0.8321054829197934,0.9995130245638526,0.0004869754361473,0.3353020587242659,0.7947526584343737,0.0052113221026957,4.0,True,,0.9972338080406188,240.0,68.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,random_forest,standard,,fold5,0.9386002796357276,751236,0.0159457214510486,9550,739150,107,2429,0.9966242299357326,0.9889199544371958,0.7972284831788964,0.8827879460158994,0.8293818282875653,0.9996315746100456,0.9828719650914256,0.8985418716287985,0.9998552600787006,0.0001447399212993,0.2027715168211036,0.8863640428306186,0.0021345538937264,5.0,True,,0.9386002796357276,242.0,66.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,xgboost,standard,,fold5,0.9960415363311768,751236,0.0159457214510486,9821,739115,142,2158,0.996938378884931,0.9857472648800564,0.8198514066282662,0.8951781970649895,0.8484078854161268,0.9996992548614207,0.9842716454654968,0.9098296609364483,0.9998079152446308,0.0001920847553692,0.1801485933717338,0.8975470660474895,0.0041543617844581,5.0,True,,0.9960415363311768,242.0,66.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,logistic,standard,,fold1,0.9693785905838012,751226,0.0157822013615077,10075,738412,958,1781,0.9963539600599554,0.9131695821626032,0.8497807017543859,0.8803355323517847,0.8617445301674735,0.9983912280852336,0.9430164591287185,0.9242425020329066,0.9987043023114272,0.0012956976885727,0.150219298245614,0.8790728821204633,0.0129576846957206,1.0,True,,0.9693785905838012,267.0,41.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,logistic,standard,,fold2,0.9742985367774964,751885,0.016840341275594,9408,737754,1469,3254,0.9937184542848972,0.8649443780454169,0.7430105828463118,0.7993542631377714,0.7645672490857375,0.997131431453743,0.8618303970466233,0.8705116805641864,0.998012778282061,0.0019872217179389,0.2569894171536882,0.7985548965179176,0.0164003502577543,2.0,True,,0.9742985367774964,249.0,59.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,logistic,standard,,fold3,0.967410922050476,751054,0.0157072593981258,11048,738394,863,749,0.9978536829575504,0.9275459659138612,0.9365092820208528,0.9320060738991058,0.9347027868491852,0.9986746738508498,0.9636317680369224,0.967670946841822,0.9988326116627912,0.0011673883372088,0.0634907179791472,0.9309268418572892,0.0080256117507815,3.0,True,,0.967410922050476,234.0,74.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,logistic,standard,,fold4,0.9766291975975036,751109,0.0157793342910283,6943,738215,1042,4909,0.9920770487372672,0.8695053224796493,0.5858083023962201,0.7000050410848414,0.6267037351289875,0.9969793920535344,0.8284883575552354,0.7921993895252413,0.9985904766542624,0.0014095233457376,0.4141916976037799,0.7101248982871019,0.017689649015665,4.0,True,,0.9766291975975036,240.0,68.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
spatial,logistic,standard,,fold5,0.9696225523948668,751236,0.0159457214510486,9837,737010,2247,2142,0.9941576282286791,0.814051638530288,0.8211870773854245,0.8176037900511158,0.81975,0.9979730535048378,0.9160361682299206,0.9090737695190688,0.9969604616527136,0.0030395383472865,0.1788129226145755,0.8146431257431279,0.0153887886554002,5.0,True,,0.9696225523948668,242.0,66.0,0.0,"Amatitlan,Atitlan",,,,,,,,,,
temporal,random_forest,standard,,fold1,0.4779158910498067,36184,0.1357506080035374,3726,30737,535,1186,0.9524375414547868,0.8744426191034969,0.7585504885993485,0.8123841709364439,0.7792044836672383,0.9865818860916052,0.9184818131079012,0.8707212663001859,0.9828920440010231,0.0171079559989767,0.2414495114006514,0.7879104985361066,0.033612232741079,1.0,True,,0.4779158910498067,,,,,2025-01-18 .. 2025-04-15,2025-04-28,False,,,,,,,
