lago,fecha,n_pixeles_agua,area_agua_ha,chl_media,chl_mediana,chl_std,chl_p05,chl_p25,chl_p75,chl_p90,chl_p95,chl_p99,chl_min,chl_max,pct_fuera_calibracion,pct_chl_negativa,nubosidad_oficial_pct
Amatitlan,2026-06-19,36644,1465.76,11.502725273852421,10.66235709617603,6.553245612223545,4.939819690305382,6.207334778983265,14.65107096078867,18.50677662049309,22.46390391482854,35.61620265328415,-37.80952106655812,81.32791186178082,0.12280318742495361,0.04639231524942692,13.0
Atitlan,2025-01-18,307893,12315.720000000001,0.33066711741152893,0.3330951778780582,1.334871638280668,-1.5579648664032497,-0.37857960480461905,0.9921177031635775,1.6290663205960767,2.083477329821732,4.281202067470354,-78.9516892928335,30.9426523662731,75.56034076773425,37.6315798020741,0.02
Atitlan,2025-04-13,305329,12213.16,1.750594080572439,1.7255060432533034,0.8127613904529633,0.674281443311818,1.3075861603902146,2.163415164319395,2.59773766777795,2.906373761809781,3.8595614649336936,-77.10251435864579,15.97554252552804,12.217313127806399,0.6501183968768116,0.54
Atitlan,2025-05-13,305290,12211.6,1.2570403922027875,1.2497881454342217,1.1303053060625647,-0.43675354535363375,0.5094759534852917,2.0192281432255523,2.593338204768547,2.9445132089568,3.9107731461761044,-48.00456432276324,18.376513871044533,41.573258213501916,11.720003930688854,4.37
Atitlan,2025-07-17,298689,11947.56,1.055688406863832,1.1244798695161569,1.8681409708587702,-1.04162132305619,0.29398598092110273,1.8940204013284454,2.558550065540463,3.0015855087925125,4.395524641436357,-291.11011722383205,135.86113292905404,45.75963627719803,18.52261047443997,3.57
Atitlan,2025-11-21,305299,12211.960000000001,0.21757578465316338,0.23240308341744953,1.366910485015182,-1.7579314314782835,-0.5044844957669818,0.9212173662343757,1.5651851435650386,2.0076656801130226,4.253576156960628,-62.91310390082886,29.513341196953647,77.04676399202094,41.813762901286935,3.15
Atitlan,2025-12-29,309406,12376.24,0.4939887174317782,0.46693856689212554,1.314738384907428,-1.1630192055540691,-0.16915214660272682,1.068145953189334,1.67634801985152,2.186505505040248,4.384180447357482,-125.09496331527819,26.006400855489872,72.39969489925858,30.92958766151917,3.17
Atitlan,2026-02-12,306130,12245.2,0.8738686938906309,0.8776185130603249,0.9896532824174803,-0.545894712674043,0.32296078999790234,1.3933736042746263,1.8700295993740648,2.2125066964527047,3.9437543421996617,-35.803765194407994,32.88039918877023,56.4684937771535,14.795675040015679,0.04
Atitlan,2026-03-24,305432,12217.28,1.2351854734443728,1.224854260885429,0.8643330140282434,0.009188752982376041,0.7520467000675115,1.6818939176659726,2.131940081909157,2.4617645684427374,3.762688080194402,-60.12800127303542,17.317346985764182,37.473807590560256,4.688768694832238,3.17
Atitlan,2026-04-13,304666,12186.64,2.0974569124703466,2.182201552658078,1.031391291558295,0.392158011204248,1.5411871053995752,2.7576267689774916,3.2283174220029753,3.488131750868431,4.071,-81.17587014809422,15.379679883650565,12.081426874019419,2.6993494515305283,0.01
Atitlan,2026-04-28,304625,12185.0,1.8318385893665246,1.865254833403112,0.9291142104789624,0.4272181864167033,1.2196043596900896,2.4313940731504333,2.8851075365175656,3.2012595320827697,4.071,-38.11937982138835,14.733240491259396,17.836027903159625,1.6682806729585558,4.96
Atitlan,2026-07-22,304106,12164.24,1.114048398900715,1.104847608495949,1.417092033107532,-0.9041161787417291,0.29074367821336944,1.9418570009925826,2.633951420034126,3.02266674435533,4.394204894648541,-63.45181996091206,25.139586841971834,46.65379834662914,18.02299198305854,4.02
