grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
"('Amatitlan', '2026-06-19')",36644,,"('Amatitlan', '2026-06-19')",0.9407730597461879,0.6291889531710512,20721,13424,164,2335,0.9318032965833424,0.9921474742638257,0.8987248438584317,0.9431282856557657,0.9159748561122457,0.9935384874308414,0.9962294958382558,0.9433276853969815,0.9879305269355314,0.012069473064468648,0.10127515614156836,0.8650536289564722,0.03569335862994194,6.5600000000000005,93.4,99.96000000000001
"('Atitlan', '2025-01-18')",307893,,"('Atitlan', '2025-01-18')",0.9407730597461879,0.0009061589578197621,108,307594,20,171,0.9993796546202739,0.84375,0.3870967741935484,0.5307125307125307,0.4340836012861736,0.9994891074330388,0.6922607625408521,0.6935158788234186,0.9999349834532889,6.501654671113798e-05,0.6129032258064516,0.5712643901197604,0.0005938993417657912,0.8,6.84,7.640000000000001
"('Atitlan', '2025-04-13')",305329,,"('Atitlan', '2025-04-13')",0.9407730597461879,6.550311303544701e-05,1,305309,0,19,0.9999377720426164,1.0,0.05,0.09523809523809523,0.06172839506172839,0.9997509080963874,0.368135442690041,0.525,1.0,0.0,0.95,0.22359984032181346,9.635357855586335e-05,0.0,0.76,0.76
"('Atitlan', '2025-05-13')",305290,,"('Atitlan', '2025-05-13')",0.9407730597461879,7.533820302007927e-05,0,305266,1,23,0.9999213862229356,0.0,0.0,0.0,0.0,0.9994123462269168,0.14009267037633183,0.4999983620895806,0.9999967241791612,3.275820838806684e-06,1.0,-1.570971876920732e-05,0.00021817479864694178,0.04,0.92,0.96
"('Atitlan', '2025-07-17')",298689,,"('Atitlan', '2025-07-17')",0.9407730597461879,0.001168439413570637,106,298330,10,243,0.9991529651242597,0.9137931034482759,0.3037249283667622,0.4559139784946237,0.3505291005291005,0.9950986960705014,0.7540675930069523,0.6518457047813565,0.9999664811959509,3.351880404907153e-05,0.6962750716332379,0.5265585911445884,0.0006859218701720238,0.4,9.72,10.120000000000001
"('Atitlan', '2025-11-21')",305298,,"('Atitlan', '2025-11-21')",0.9407730597461879,0.0010907375744354695,126,304961,4,207,0.9993088719873697,0.9692307692307692,0.3783783783783784,0.5442764578833693,0.43091655266757867,0.9965873305305699,0.8324679377911269,0.6891826310595678,0.9999868837407572,1.3116259242863936e-05,0.6216216216216216,0.6053648513588589,0.00045428925659507513,0.16,8.28,8.44
"('Atitlan', '2025-12-29')",309406,,"('Atitlan', '2025-12-29')",0.9407730597461879,0.0008306238405202226,31,309148,1,226,0.9992663361408635,0.96875,0.12062256809338522,0.21453287197231835,0.14622641509433962,0.9955034023171908,0.732235920448897,0.5603096667035992,0.9999967653138131,3.234686186919576e-06,0.8793774319066148,0.3417043545540064,0.00044490103027783334,0.04,9.040000000000001,9.08
"('Atitlan', '2026-02-12')",306130,,"('Atitlan', '2026-02-12')",0.9407730597461879,0.0005193871884493516,49,305969,2,110,0.9996341423578219,0.9607843137254902,0.3081761006289308,0.4666666666666667,0.35662299854439594,0.9996948368662965,0.7452517321491915,0.65408478203087,0.999993463432809,6.536567191008298e-06,0.6918238993710691,0.5440346788598613,0.0003206284891348332,0.08,4.4,4.48
"('Atitlan', '2026-03-24')",305432,,"('Atitlan', '2026-03-24')",0.9407730597461879,0.0001309620471987218,0,305391,1,40,0.9998657639016213,0.0,0.0,0.0,0.0,0.9995298665321947,0.28743833443535877,0.4999983627599937,0.9999967255199874,3.2744800125740034e-06,1.0,-2.0708307752747066e-05,0.0002891461190301925,0.04,1.6,1.6400000000000001
"('Atitlan', '2026-04-13')",304666,,"('Atitlan', '2026-04-13')",0.9407730597461879,0.000203501539390677,2,304602,2,60,0.9997964984606094,0.5,0.03225806451612903,0.06060606060606061,0.03968253968253968,0.9995794645697575,0.3034271550650069,0.5161257493070855,0.9999934340980421,6.565901957951964e-06,0.967741935483871,0.12696219008493567,0.0002215747081208974,0.08,2.4,2.48
