grupo,n,advertencia,etiqueta,umbral,prevalencia_real,TP,TN,FP,FN,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,fpr,fnr,mcc,brier,area_FP_ha,area_FN_ha,area_error_ha
27,11542,,27,0.9407730597461879,0.09747010916652227,496.0,10394.0,23.0,629.0,0.9435106567319356,0.9556840077071291,0.4408888888888889,0.6034063260340633,0.4941223351265192,0.9864089682463494,0.8908851164754347,0.719340479771314,0.9977920706537391,0.0022079293462609196,0.5591111111111111,0.6278599706776199,0.03612256050109863,0.92,25.16,26.080000000000002
28,6776,,28,0.9407730597461879,0.30489964580873674,1554.0,4677.0,33.0,512.0,0.91956906729634,0.9792060491493384,0.7521781219748306,0.85080755543389,0.788752410922749,0.9910880436056012,0.9791030336616092,0.8725858762740395,0.9929936305732484,0.0070063694267515925,0.24782187802516942,0.8100311069249724,0.04314707592129707,1.32,20.48,21.8
29,792,,29,0.9407730597461879,0.398989898989899,276.0,467.0,9.0,40.0,0.9381313131313131,0.968421052631579,0.8734177215189873,0.9184692179700499,0.8908973531310523,0.9905595149452187,0.9837298869455032,0.9272550792468885,0.9810924369747899,0.018907563025210083,0.12658227848101267,0.8718421027593393,0.04437563940882683,0.36,1.6,1.96
30,949,,30,0.9407730597461879,0.2465753424657534,95.0,701.0,14.0,139.0,0.8387776606954689,0.8715596330275229,0.405982905982906,0.5539358600583091,0.45454545454545453,0.9118701811009503,0.7807375417576673,0.6932012432012432,0.9804195804195804,0.019580419580419582,0.594017094017094,0.5223336077732909,0.11993986368179321,0.56,5.5600000000000005,6.12
31,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
32,4535,,32,0.9407730597461879,0.10121278941565601,381.0,4061.0,15.0,78.0,0.9794928335170893,0.9621212121212122,0.8300653594771242,0.8912280701754386,0.853494623655914,0.997296465200408,0.9757286326113639,0.9131926404843913,0.9963199214916585,0.0036800785083415115,0.16993464052287582,0.8828983343348423,0.019042128697037697,0.6,3.12,3.72
33,18886,,33,0.9407730597461879,0.05236683257439373,777.0,17869.0,28.0,212.0,0.9872921740972148,0.9652173913043478,0.7856420626895855,0.8662207357859532,0.8160050409577819,0.9982405781922655,0.9740544091172071,0.892038777335741,0.9984354919818964,0.0015645080181035929,0.21435793731041455,0.8646455751615676,0.01032490748912096,1.12,8.48,9.6
34,24107,,34,0.9407730597461879,0.02941054465507944,528.0,23390.0,8.0,181.0,0.9921599535404654,0.9850746268656716,0.7447108603667136,0.8481927710843373,0.7829181494661922,0.9989403335257881,0.9748247467769912,0.8721844754008967,0.9996580904350799,0.00034190956492007865,0.2552891396332863,0.8529613187350569,0.004976996220648289,0.32,7.24,7.5600000000000005
35,1947,,35,0.9407730597461879,0.05649717514124294,51.0,1837.0,0.0,59.0,0.9696969696969697,1.0,0.4636363636363636,0.6335403726708074,0.5193482688391039,0.9894739446726382,0.8670914438820594,0.7318181818181818,1.0,0.0,0.5363636363636364,0.6702304534706653,0.02145574986934662,0.0,2.36,2.36
36,67,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
37,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
38,1494,,38,0.9407730597461879,0.08701472556894244,60.0,1363.0,1.0,70.0,0.9524765729585006,0.9836065573770492,0.46153846153846156,0.6282722513089005,0.5163511187607573,0.9947044890593277,0.9509279229981598,0.7304026618542747,0.999266862170088,0.0007331378299120235,0.5384615384615384,0.6563089647589027,0.02717585489153862,0.04,2.8000000000000003,2.84
39,25340,,39,0.9407730597461879,0.142620363062352,3048.0,21707.0,19.0,566.0,0.9769139700078927,0.9938050211933486,0.8433868289983398,0.9124382577458464,0.8697140900530731,0.9974550345065863,0.986808043012326,0.921256150391649,0.9991254717849581,0.0008745282150418853,0.15661317100166022,0.9032624691528969,0.014625933952629566,0.76,22.64,23.400000000000002
40,27498,,40,0.9407730597461879,0.04327587460906248,865.0,26292.0,16.0,325.0,0.9875990981162266,0.981838819523269,0.726890756302521,0.8353452438435538,0.7667080304910476,0.9971640891418145,0.9556070665881028,0.8631412881406173,0.9993918199787137,0.0006081800212863008,0.27310924369747897,0.8391807562308774,0.010724508203566074,0.64,13.0,13.64
41,13635,,41,0.9407730597461879,0.09937660432709938,852.0,12248.0,32.0,503.0,0.9607627429409608,0.9638009049773756,0.6287822878228783,0.7610540419830282,0.675761421319797,0.9934983232568483,0.9468248941028198,0.813088212315348,0.9973941368078176,0.0026058631921824105,0.3712177121771218,0.7607943665959616,0.0217046570032835,1.28,20.12,21.400000000000002
42,222,,42,0.9407730597461879,0.42342342342342343,24.0,118.0,10.0,70.0,0.6396396396396397,0.7058823529411765,0.2553191489361702,0.375,0.2926829268292683,0.7967918882978724,0.6872136488440121,0.5885970744680851,0.921875,0.078125,0.7446808510638298,0.24310836670467342,0.2034607231616974,0.4,2.8000000000000003,3.2
43,4411,,43,0.9407730597461879,0.09249603264565857,368.0,4002.0,1.0,40.0,0.9907050555429607,0.997289972899729,0.9019607843137255,0.9472329472329473,0.9195402298850575,0.9993589366798431,0.9947270981114059,0.950855485836603,0.9997501873594804,0.0002498126405196103,0.09803921568627451,0.9435803604528202,0.01652080938220024,0.04,1.6,1.6400000000000001
44,19331,,44,0.9407730597461879,0.15767420205886917,2437.0,16281.0,2.0,611.0,0.9682892762919663,0.999179991799918,0.7995406824146981,0.8882813923819938,0.832820723122138,0.9990415184314575,0.9951909471288882,0.8997089274629531,0.999877172511208,0.00012282748879199166,0.20045931758530183,0.8774090309975585,0.009415600448846817,0.08,24.44,24.52
45,18826,,45,0.9407730597461879,0.07144374800807395,894.0,17469.0,12.0,451.0,0.9754063529161797,0.9867549668874173,0.6646840148698885,0.7943136383829409,0.7111040407254215,0.9954880806330569,0.9594436914655068,0.8319987776425983,0.9993135404153081,0.0006864595846919513,0.3353159851301115,0.7990568105533086,0.01232417207211256,0.48,18.04,18.52
46,16888,,46,0.9407730597461879,0.11061108479393653,889.0,14996.0,24.0,979.0,0.9406087162482236,0.9737130339539978,0.4759100642398287,0.6393383674937073,0.530113297555158,0.9910185063740851,0.9349702393487461,0.7371560973662525,0.9984021304926765,0.0015978695073235686,0.5240899357601713,0.657857561295863,0.022978847846388817,0.96,39.160000000000004,40.12
47,17,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
48,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
49,11,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
50,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
51,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
52,4,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
53,3627,,53,0.9407730597461879,0.11855527984560242,243.0,3191.0,6.0,187.0,0.9467879790460436,0.9759036144578314,0.5651162790697675,0.7157584683357879,0.617064499746064,0.993390606018724,0.9488849747291476,0.7816197598038859,0.9981232405380044,0.001876759461995621,0.43488372093023253,0.720060800870087,0.025522083044052124,0.24,7.48,7.72
54,7,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
55,2,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
56,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
57,3,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
58,9,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
59,5,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
60,403,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
61,86,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
62,26,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
63,116,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
64,5,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
65,74,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
66,150,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
67,38,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
68,382,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
69,348,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
70,1,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
71,6,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
72,134,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
73,57,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
74,10,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
75,413,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
76,38,una sola clase,,,,,,,,,,,,,,,,,,,,,,,
